"title","link","date","ep.num","available"
"New Beginnings","https://www.thisamericanlife.org/radio-archives/episode/1/transcript","11.17.1995",1,TRUE
"Small Scale Sin","https://www.thisamericanlife.org/radio-archives/episode/2/transcript","11.24.1995",2,TRUE
"Poultry Slam 1995","https://www.thisamericanlife.org/radio-archives/episode/3/transcript","12.01.1995",3,TRUE
"Vacations","https://www.thisamericanlife.org/radio-archives/episode/4/transcript","12.08.1995",4,TRUE
"Anger and Forgiveness","https://www.thisamericanlife.org/radio-archives/episode/5/transcript","12.15.1995",5,TRUE
"Christmas","https://www.thisamericanlife.org/radio-archives/episode/6/transcript","12.22.1995",6,TRUE
"Quitting","https://www.thisamericanlife.org/radio-archives/episode/7/transcript","12.29.1995",7,TRUE
"New Year","https://www.thisamericanlife.org/radio-archives/episode/8/transcript","01.03.1996",8,TRUE
"Julia Sweeney","https://www.thisamericanlife.org/radio-archives/episode/9/transcript","01.10.1996",9,TRUE
"Double Lives","https://www.thisamericanlife.org/radio-archives/episode/10/transcript","01.17.1996",10,TRUE
"Enemies","https://www.thisamericanlife.org/radio-archives/episode/11/transcript","01.24.1996",11,TRUE
"Animals","https://www.thisamericanlife.org/radio-archives/episode/12/transcript","01.31.1996",12,TRUE
"Love","https://www.thisamericanlife.org/radio-archives/episode/13/transcript","02.07.1996",13,TRUE
"Accidental Documentaries","https://www.thisamericanlife.org/radio-archives/episode/14/transcript","02.21.1996",14,TRUE
"Dawn","https://www.thisamericanlife.org/radio-archives/episode/15/transcript","02.28.1996",15,TRUE
"Economy","https://www.thisamericanlife.org/radio-archives/episode/16/transcript","03.14.1996",16,TRUE
"Name Change / No Theme","https://www.thisamericanlife.org/radio-archives/episode/17/transcript","03.21.1996",17,TRUE
"Liars","https://www.thisamericanlife.org/radio-archives/episode/18/transcript","03.28.1996",18,TRUE
"Rich Guys","https://www.thisamericanlife.org/radio-archives/episode/19/transcript","04.12.1996",19,TRUE
"From A Distance","https://www.thisamericanlife.org/radio-archives/episode/20/transcript","04.19.1996",20,TRUE
"Factions","https://www.thisamericanlife.org/radio-archives/episode/21/transcript","04.26.1996",21,TRUE
"Adult Children","https://www.thisamericanlife.org/radio-archives/episode/22/transcript","05.03.1996",22,TRUE
"Drama Bug","https://www.thisamericanlife.org/radio-archives/episode/23/transcript","05.10.1996",23,TRUE
"Teenaged Girls","https://www.thisamericanlife.org/radio-archives/episode/24/transcript","05.24.1996",24,TRUE
"Basketball","https://www.thisamericanlife.org/radio-archives/episode/25/transcript","06.07.1996",25,TRUE
"Father&#039;s Day &#039;96","https://www.thisamericanlife.org/radio-archives/episode/26/transcript","06.14.1996",26,TRUE
"The Cruelty of Children","https://www.thisamericanlife.org/radio-archives/episode/27/transcript","06.21.1996",27,TRUE
"Detectives","https://www.thisamericanlife.org/radio-archives/episode/28/transcript","07.12.1996",28,TRUE
"Bob Dole","https://www.thisamericanlife.org/radio-archives/episode/29/transcript","07.19.1996",29,TRUE
"Obsession","https://www.thisamericanlife.org/radio-archives/episode/30/transcript","07.26.1996",30,TRUE
"When You Talk About Music","https://www.thisamericanlife.org/radio-archives/episode/31/transcript","08.09.1996",31,TRUE
"Republican Convention","https://www.thisamericanlife.org/radio-archives/episode/32/transcript","08.16.1996",32,TRUE
"A Night at the Wiener Circle","https://www.thisamericanlife.org/radio-archives/episode/33/transcript","08.23.1996",33,TRUE
"Democratic Convention","https://www.thisamericanlife.org/radio-archives/episode/34/transcript","08.30.1996",34,TRUE
"Fall Clearance Sale","https://www.thisamericanlife.org/radio-archives/episode/35/transcript","09.06.1996",35,TRUE
